# Array Size   Threads   Time Reduction Method (sec)   Time Critical Method (sec)
10^5         1         0.0117952                    0.0117889
10^5         2         0.00604165                   0.00600061
10^5         4         0.00345508                   0.00337408
10^5         8         0.00247517                   0.00226766
10^5         16        0.00269236                   0.00247585
10^5         20        0.00319103                   0.00296413
10^6         1         0.116864                     0.116821
10^6         2         0.0586332                    0.0585317
10^6         4         0.0301012                    0.0296502
10^6         8         0.01607                      0.0153791
10^6         16        0.00963946                   0.00912585
10^6         20        0.0203617                    0.00836276
10^7         1         1.34626                      1.34629
10^7         2         0.694687                     0.694209
10^7         4         0.639863                     0.63902
10^7         8         0.565161                     0.563883
10^7         16        0.489328                     0.511446
10^7         20        0.555484                     0.586565
10^8         1         13.4137                      13.4136
10^8         2         6.90442                      6.90517
10^8         4         6.27104                      6.30877
10^8         8         5.34744                      5.59942
10^8         16        4.42949                      4.42826
10^8         20        5.21305                      5.23531
10^9         1         133.901                      133.894
10^9         2         68.8276                      68.83
10^9         4         64.9755                      65.0187
10^9         8         57.0081                      57.0748
10^9         16        44.8376                      44.6718
10^9         20        49.3542                      49.6471
