threads,resolution,time
1,64x64,0.042428
1,128x128,0.234807
1,256x256,1.58038
1,512x512,12.0746
1,1024x1024,128.974
2,64x64,0.0445765
2,128x128,0.147002
2,256x256,0.876395
2,512x512,6.19468
2,1024x1024,69.4011
4,64x64,0.0427662
4,128x128,0.0945527
4,256x256,0.496459
4,512x512,3.27531
4,1024x1024,34.0505
8,64x64,0.0516285
8,128x128,0.0971832
8,256x256,0.326231
8,512x512,1.86198
8,1024x1024,22.6832
16,64x64,0.215308
16,128x128,0.276164
16,256x256,0.493569
16,512x512,1.71272
16,1024x1024,26.1172
1,64x64,0.0420472
2,91x91,0.0747924
4,128x128,0.107603
8,182x182,0.166894
16,256x256,0.35743
1,128x128,0.240505
2,182x182,0.318924
4,256x256,0.500545
8,363x363,0.741718
16,512x512,1.39904
1,256x256,1.59589
2,363x363,2.32506
4,512x512,3.27237
8,725x725,4.76091
16,1024x1024,25.9092
